eV	counts/s
20.88457	73
20.89757	10
20.91057	-36
20.92357	1
20.93657	10
20.94957	29
20.96257	-25
20.97557	19
20.98857	66
21.00157	97
21.01457	36
21.02757	56
21.04057	86
21.05357	22
21.06657	-11
21.07957	21
21.09257	29
21.10557	32
21.11857	56
21.13157	15
21.14457	-34
21.15757	16
21.17057	56
21.18357	64
21.19657	106
21.20957	54
21.22257	-4
21.23557	3
21.24857	9
21.26157	26
21.27457	-41
21.28757	-34
21.30057	0
21.31357	23
21.32657	-1
21.33957	33
21.35257	81
21.36557	39
21.37857	59
21.39157	2
21.40457	-4
21.41757	96
21.43057	66
21.44357	-2
21.45657	-59
21.46957	54
21.48257	46
21.49557	83
21.50857	42
21.52157	11
21.53457	70
21.54757	-6
21.56057	-70
21.57357	-42
21.58657	137
21.59957	-27
21.61257	51
21.62557	49
21.63857	-15
21.65157	49
21.66457	95
21.67757	-16
21.69057	-14
21.70357	130
21.71657	35
21.72957	76
21.74257	-18
21.75557	-27
21.76857	73
21.78157	29
21.79457	117
21.80757	27
21.82057	-1
21.83357	-64
21.84657	-42
21.85957	60
21.87257	16
21.88557	33
21.89857	128
21.91157	-31
21.92457	-103
21.93757	10
21.95057	-3
21.96357	-5
21.97657	37
21.98957	-11
22.00257	52
22.01557	70
22.02857	-55
22.04157	29
22.05457	12
22.06757	-42
22.08057	10
22.09357	33
22.10657	-13
22.11957	-25
22.13257	-24
22.14557	-14
22.15857	13
22.17157	13
22.18457	-21
22.19757	-61
22.21057	-40
22.22357	17
22.23657	-18
22.24957	119
22.26257	88
22.27557	43
22.28857	29
22.30157	27
22.31457	31
22.32757	-9
22.34057	-22
22.35357	-40
22.36657	-8
22.37957	-5
22.39257	-48
22.40557	-30
22.41857	-2
22.43157	13
22.44457	63
22.45757	101
22.47057	85
22.48357	42
22.49657	-23
22.50957	-23
22.52257	16
22.53557	44
22.54857	86
22.56157	20
22.57457	-29
22.58757	-12
22.60057	32
22.61357	48
22.62657	14
22.63957	60
22.65257	-41
22.66557	-22
22.67857	-6
22.69157	-47
22.70457	-3
22.71757	74
22.73057	35
22.74357	48
22.75657	20
22.76957	-75
22.78257	-87
22.79557	-14
22.80857	62
22.82157	4
22.83457	55
22.84757	53
22.86057	53
22.87357	-2
22.88657	-21
22.89957	64
22.91257	-48
22.92557	18
22.93857	58
22.95157	102
22.96457	-48
22.97757	83
22.99057	8
23.00357	-10
23.01657	36
23.02957	113
23.04257	79
23.05557	-31
23.06857	-24
23.08157	120
23.09457	85
23.10757	-8
23.12057	15
23.13357	26
23.14657	3
23.15957	42
23.17257	15
23.18557	-25
23.19857	31
23.21157	-42
23.22457	19
23.23757	66
23.25057	66
23.26357	-70
23.27657	72
23.28957	-28
23.30257	-63
23.31557	95
23.32857	134
23.34157	79
23.35457	27
23.36757	-11
23.38057	-36
23.39357	20
23.40657	56
23.41957	49
23.43257	69
23.44557	18
23.45857	12
23.47157	35
23.48457	-2
23.49757	12
23.51057	31
23.52357	24
23.53657	26
23.54957	-2
23.56257	51
23.57557	-5
23.58857	-94
23.60157	-68
23.61457	-54
23.62757	-57
23.64057	-63
23.65357	-60
23.66657	23
23.67957	50
23.69257	-6
23.70557	2
23.71857	31
23.73157	20
23.74457	-19
23.75757	-53
23.77057	-12
23.78357	17
23.79657	33
23.80957	96
23.82257	112
23.83557	79
23.84857	26
23.86157	1
23.87457	23
23.88757	49
23.90057	27
23.91357	-8
23.92657	21
23.93957	-17
23.95257	-35
23.96557	-46
23.97857	-44
23.99157	-59
24.00457	12
24.01757	39
24.03057	40
24.04357	139
24.05657	107
24.06957	91
24.08257	-17
24.09557	-50
24.10857	-2
24.12157	41
24.13457	97
24.14757	-21
24.16057	53
24.17357	116
24.18657	50
24.19957	8
24.21257	-37
24.22557	32
24.23857	60
24.25157	47
24.26457	48
24.27757	97
24.29057	13
24.30357	31
24.31657	-13
24.32957	42
24.34257	176
24.35557	36
24.36857	8
24.38157	21
24.39457	-1
24.40757	-18
24.42057	32
24.43357	54
24.44657	38
24.45957	100
24.47257	28
24.48557	73
24.49857	101
24.51157	32
24.52457	59
24.53757	52
24.55057	-37
24.56357	34
24.57657	51
24.58957	35
24.60257	-3
24.61557	29
24.62857	-13
24.64157	13
24.65457	-17
24.66757	39
24.68057	16
24.69357	182
24.70657	92
24.71957	110
24.73257	119
24.74557	56
24.75857	18
24.77157	37
24.78457	-10
24.79757	-14
24.81057	-24
24.82357	33
24.83657	120
24.84957	111
24.86257	102
24.87557	64
24.88857	13
24.90157	3
24.91457	29
24.92757	-23
24.94057	-40
24.95357	-76
24.96657	-4
24.97957	50
24.99257	27
25.00557	65
25.01857	80
25.03157	32
25.04457	56
25.05757	118
25.07057	43
25.08357	9
25.09657	31
25.10957	33
25.12257	49
25.13557	30
25.14857	50
25.16157	31
25.17457	-3
25.18757	11
25.20057	13
25.21357	14
25.22657	53
25.23957	34
25.25257	16
25.26557	88
25.27857	79
25.29157	38
25.30457	43
25.31757	43
25.33057	154
25.34357	99
25.35657	30
25.36957	32
25.38257	82
25.39557	32
25.40857	59
25.42157	159
25.43457	117
25.44757	55
25.46057	-17
25.47357	-8
25.48657	5
25.49957	-28
25.51257	56
25.52557	80
25.53857	48
25.55157	5
25.56457	42
25.57757	-54
25.59057	81
25.60357	127
25.61657	131
25.62957	81
25.64257	37
25.65557	-2
25.66857	144
25.68157	136
25.69457	73
25.70757	152
25.72057	47
25.73357	55
25.74657	166
25.75957	73
25.77257	114
25.78557	183
25.79857	67
25.81157	147
25.82457	106
25.83757	201
25.85057	172
25.86357	143
25.87657	263
25.88957	297
25.90257	333
25.91557	221
25.92857	233
25.94157	262
25.95457	308
25.96757	391
25.98057	412
25.99357	389
26.00657	423
26.01957	464
26.03257	579
26.04557	552
26.05857	655
26.07157	664
26.08457	698
26.09757	822
26.11057	904
26.12357	917
26.13657	1002
26.14957	1027
26.16257	1070
26.17557	1185
26.18857	1298
26.20157	1320
26.21457	1322
26.22757	1370
26.24057	1465
26.25357	1534
26.26657	1609
26.27957	1632
26.29257	1649
26.30557	1612
26.31857	1535
26.33157	1506
26.34457	1541
26.35757	1473
26.37057	1344
26.38357	1343
26.39657	1295
26.40957	1166
26.42257	1122
26.43557	984
26.44857	884
26.46157	879
26.47457	779
26.48757	789
26.50057	679
26.51357	563
26.52657	596
26.53957	569
26.55257	567
26.56557	567
26.57857	509
26.59157	461
26.60457	495
26.61757	488
26.63057	539
26.64357	457
26.65657	452
26.66957	464
26.68257	371
26.69557	356
26.70857	341
26.72157	345
26.73457	330
26.74757	367
26.76057	286
26.77357	432
26.78657	380
26.79957	409
26.81257	462
26.82557	420
26.83857	436
26.85157	485
26.86457	378
26.87757	438
26.89057	474
26.90357	450
26.91657	485
26.92957	520
26.94257	506
26.95557	604
26.96857	626
26.98157	579
26.99457	561
27.00757	645
27.02057	645
27.03357	730
27.04657	722
27.05957	669
27.07257	747
27.08557	749
27.09857	770
27.11157	879
27.12457	835
27.13757	877
27.15057	960
27.16357	967
27.17657	1012
27.18957	1038
27.20257	1151
27.21557	1143
27.22857	1174
27.24157	1308
27.25457	1405
27.26757	1416
27.28057	1431
27.29357	1336
27.30657	1502
27.31957	1643
27.33257	1615
27.34557	1643
27.35857	1674
27.37157	1653
27.38457	1725
27.39757	1874
27.41057	1961
27.42357	2099
27.43657	2177
27.44957	2121
27.46257	2196
27.47557	2293
27.48857	2326
27.50157	2332
27.51457	2379
27.52757	2433
27.54057	2481
27.55357	2475
27.56657	2563
27.57957	2648
27.59257	2664
27.60557	2689
27.61857	2814
27.63157	2902
27.64457	2820
27.65757	2861
27.67057	2998
27.68357	3013
27.69657	3108
27.70957	3224
27.72257	3227
27.73557	3312
27.74857	3459
27.76157	3460
27.77457	3471
27.78757	3607
27.80057	3637
27.81357	3756
27.82657	3888
27.83957	3876
27.85257	3963
27.86557	3969
27.87857	3980
27.89157	4067
27.90457	4080
27.91757	4178
27.93057	4247
27.94357	4216
27.95657	4196
27.96957	4213
27.98257	4284
27.99557	4295
28.00857	4338
28.02157	4271
28.03457	4009
28.04757	3919
28.06057	3978
28.07357	3911
28.08657	3919
28.09957	3918
28.11257	3845
28.12557	3700
28.13857	3585
28.15157	3450
28.16457	3438
28.17757	3441
28.19057	3238
28.20357	3156
28.21657	2950
28.22957	2870
28.24257	2715
28.25557	2646
28.26857	2567
28.28157	2512
28.29457	2334
28.30757	2240
28.32057	2294
28.33357	2005
28.34657	1897
28.35957	1829
28.37257	1799
28.38557	1719
28.39857	1673
28.41157	1508
28.42457	1414
28.43757	1434
28.45057	1365
28.46357	1232
28.47657	1393
28.48957	1197
28.50257	1161
28.51557	1204
28.52857	1063
28.54157	1069
28.55457	920
28.56757	976
28.58057	981
28.59357	905
28.60657	982
28.61957	924
28.63257	879
28.64557	760
28.65857	857
28.67157	871
28.68457	779
28.69757	797
28.71057	820
28.72357	746
28.73657	754
28.74957	755
28.76257	734
28.77557	749
28.78857	754
28.80157	745
28.81457	754
28.82757	769
28.84057	792
28.85357	826
28.86657	870
28.87957	782
28.89257	842
28.90557	960
28.91857	969
28.93157	955
28.94457	1036
28.95757	1015
28.97057	997
28.98357	1074
28.99657	1112
29.00957	1203
29.02257	1271
29.03557	1285
29.04857	1287
29.06157	1319
29.07457	1359
29.08757	1375
29.10057	1442
29.11357	1482
29.12657	1525
29.13957	1520
29.15257	1546
29.16557	1531
29.17857	1491
29.19157	1622
29.20457	1573
29.21757	1480
29.23057	1464
29.24357	1572
29.25657	1544
29.26957	1400
29.28257	1289
29.29557	1292
29.30857	1352
29.32157	1408
29.33457	1326
29.34757	1172
29.36057	1103
29.37357	1168
29.38657	1040
29.39957	1162
29.41257	1016
29.42557	1006
29.43857	953
29.45157	991
29.46457	863
29.47757	918
29.49057	864
29.50357	903
29.51657	869
29.52957	841
29.54257	780
29.55557	811
29.56857	908
29.58157	816
29.59457	887
29.60757	913
29.62057	936
29.63357	896
29.64657	999
29.65957	930
29.67257	1034
29.68557	1017
29.69857	1049
29.71157	1086
29.72457	1053
29.73757	1307
29.75057	1323
29.76357	1369
29.77657	1505
29.78957	1405
29.80257	1543
29.81557	1750
29.82857	1860
29.84157	1915
29.85457	2006
29.86757	2084
29.88057	2356
29.89357	2507
29.90657	2548
29.91957	2670
29.93257	2921
29.94557	3197
29.95857	3310
29.97157	3618
29.98457	3859
29.99757	4014
30.01057	4151
30.02357	4353
30.03657	4636
30.04957	4867
30.06257	4891
30.07557	4979
30.08857	5033
30.10157	5113
30.11457	5247
30.12757	5263
30.14057	5177
30.15357	5091
30.16657	5006
30.17957	4941
30.19257	4746
30.20557	4648
30.21857	4393
30.23157	4023
30.24457	3736
30.25757	3616
30.27057	3469
30.28357	3189
30.29657	2913
30.30957	2664
30.32257	2480
30.33557	2307
30.34857	2102
30.36157	1907
30.37457	1755
30.38757	1685
30.40057	1551
30.41357	1385
30.42657	1279
30.43957	1186
30.45257	1210
30.46557	1084
30.47857	1017
30.49157	972
30.50457	841
30.51757	806
30.53057	729
30.54357	756
30.55657	751
30.56957	678
30.58257	624
30.59557	523
30.60857	442
30.62157	524
30.63457	566
30.64757	427
30.66057	320
30.67357	466
30.68657	476
30.69957	471
30.71257	452
30.72557	480
30.73857	393
30.75157	371
30.76457	368
30.77757	357
30.79057	318
30.80357	246
30.81657	239
30.82957	238
30.84257	223
30.85557	334
30.86857	240
30.88157	244
30.89457	210
30.90757	83
30.92057	166
30.93357	130
30.94657	193
30.95957	259
30.97257	227
30.98557	166
30.99857	71
31.01157	240
31.02457	119
31.03757	144
31.05057	146
31.06357	191
31.07657	148
31.08957	141
31.10257	303
31.11557	209
31.12857	198
31.14157	181
31.15457	206
31.16757	81
31.18057	183
31.19357	91
31.20657	112
31.21957	131
31.23257	167
31.24557	128
31.25857	113
31.27157	236
31.28457	267
31.29757	213
31.31057	203
31.32357	89
31.33657	212
31.34957	273
31.36257	222
31.37557	209
31.38857	231
31.40157	191
31.41457	263
31.42757	263
31.44057	210
31.45357	236
31.46657	293
31.47957	338
31.49257	303
31.50557	387
31.51857	379
31.53157	361
31.54457	336
31.55757	348
31.57057	339
31.58357	311
31.59657	394
31.60957	371
31.62257	269
31.63557	319
31.64857	407
31.66157	378
31.67457	367
31.68757	401
31.70057	371
31.71357	366
31.72657	429
31.73957	490
31.75257	461
31.76557	414
31.77857	464
31.79157	554
31.80457	515
31.81757	515
31.83057	515
31.84357	463
31.85657	535
31.86957	539
31.88257	500
31.89557	635
31.90857	617
31.92157	513
31.93457	480
31.94757	425
31.96057	521
31.97357	590
31.98657	496
31.99957	575
32.01257	550
32.02557	662
32.03857	637
32.05157	699
32.06457	631
32.07757	689
32.09057	706
32.10357	719
32.11657	745
32.12957	776
32.14257	553
32.15557	692
32.16857	813
32.18157	747
32.19457	737
32.20757	825
32.22057	712
32.23357	773
32.24657	945
32.25957	822
32.27257	870
32.28557	938
32.29857	826
32.31157	914
32.32457	883
32.33757	869
32.35057	779
32.36357	829
32.37657	843
32.38957	850
32.40257	826
32.41557	777
32.42857	829
32.44157	836
32.45457	872
32.46757	766
32.48057	682
32.49357	647
32.50657	636
32.51957	641
32.53257	631
32.54557	572
32.55857	464
32.57157	572
32.58457	402
32.59757	420
32.61057	348
32.62357	374
32.63657	308
32.64957	287
32.66257	339
32.67557	239
32.68857	288
32.70157	195
32.71457	235
32.72757	170
32.74057	176
32.75357	178
32.76657	163
32.77957	223
32.79257	159
32.80557	143
32.81857	140
32.83157	65
32.84457	119
32.85757	139
32.87057	79
32.88357	79
32.89657	66
32.90957	88
32.92257	85
32.93557	77
32.94857	156
32.96157	95
32.97457	10
32.98757	46
33.00057	95
33.01357	143
33.02657	117
33.03957	58
33.05257	0
33.06557	-32
33.07857	-7
33.09157	65
33.10457	74
33.11757	35
33.13057	19
